country,flag
Almanya,AB
Amerika Birleşik Devletleri,ABD
Avusturya,AB
Belçika,AB
Bulgaristan,AB
Çekya,AB
Çin,Çin
Danimarka,AB
Estonya,AB
Finlandiya,AB
Fransa,AB
Hırvatistan,AB
Hollanda,AB
İrlanda,AB
İspanya,AB
İsveç,AB
İtalya,AB
Kıbrıs Cumhuriyeti,AB
Letonya,AB
Litvanya,AB
Lüksemburg,AB
Macaristan,AB
Malta,AB
Polonya,AB
Portekiz,AB
Romanya,AB
Slovakya,AB
Slovenya,AB
Yunanistan,AB
ABD,ABD
Çin Halk Cumhuriyeti,Çin
GKRY,AB
Rusya,Rusya
Azerbaycan,TDT
Kazakistan,TDT
Kırgızistan,TDT
Özbekistan,TDT
KKTC,TDT
Kuzey Kıbrıs Türk Cumhuriyeti,TDT
Türkmenistan,TDT
İngiltere,GBR
İskoçya,GBR
Galler,GBR
İrlanda,GBR
Britanya,GBR
