Abbreviation,Description
alay,alay yolu
Alm.,Almanca
anat.,anatomi
ant.,Antropoloji
Ar.,Arapça
argo,argo söz
ark.,arkeoloji
ask.,askerlik
astr.,astronomi
bağ.,bağlaç
biy.,biyoloji
bl.,bilişim
bot.,botanik
Bulg.,Bulgarca
Cerm.,Cermence
coğr.,coğrafya
ç.,çokluk
den.,denizcilik
-den,-den durum ekiyle kullanılan
d. b,dil bilimi
din b.,din bilgisi
e.,edat
-e,-e durum ekiyle kullanılan
ed.,edebiyat
ekon.,ekonomi
Erm.,Ermenice
esk.,eskimiş
Far.,Farsça
fel.,felsefe
fiz.,fizik
fizy.,fizyoloji
Fr.,Fransızca
geom.,geometri
gr.,gramer
hkr.,hakaret yollu
hlk.,halk ağzında
huk.,hukuk
-i,-i nesne alan fiil
İbr.,İbranice
İng.,İngilizce
is.,isim
İsp.,İspanyolca
İt.,İtalyanca
jeol.,jeoloji
kaba,kaba konuşmada
kim.,kimya
K. T.,Kamus-i Türkî
Lât.,Lâtince
-le,ile edatıyla kullanılan fiil
M. Ö.,Milâttan önce
Mac.,Macarca
man.,mantık
mat,matematik
rndn.,madencilik
mec.,mecaz
met.,metalürji
meteor.,meteoroloji
mim.,mimarlık
min.,mineraloji
mod.,moda
M S.,Milâttan sonra
müz.,müzik
nsz.,nesne almayan fiil
öz.,özel
0. T.,Osmanlı Türkçesi
ped.,pedagoji
Port.,Portekizce
psikol.,psikoloji
Rus.,Rusça
Rum.,Rumca
s.,sıfat
sin.,sinema
Sl.,Slavca
sos.,sosyoloji
sp.,spor
şaka,şaka yollu
T.,Türkçe
tar.,tarih
tek.,teknik
tıp,tıp
tic.,ticaret
tiy.,tiyatro
tkz.,teklifsiz konuşmada
TV.,televizyon
ünl.,ünlem
vb.,ve benzerleri
yar.,yardımcı fiil
Yun.,Yunanca
zf.,zarf
zm.,zamir
zool.,zooloji
